UID,ALL_AgeOfOldestAccount,ALL_AgeOfYoungestAccount,ALL_Count,ALL_CountActive,ALL_CountClosedLast12Months,ALL_CountDefaultAccounts,ALL_CountOpenedLast12Months,ALL_CountSettled,ALL_MeanAccountAge,ALL_SumCurrentOutstandingBal,ALL_SumCurrentOutstandingBalExcMtg,ALL_TimeSinceMostRecentDefault,ALL_WorstPaymentStatusActiveAccounts
216009,227,12,14,11,0,3,0,3,71.36,9292,9292,-1,7
217537,49,10,7,6,1,3,1,1,29.33,4592,4592,-1,7
221803,134,0,12,11,0,3,5,1,32.33,2737,2737,-1,7
222260,227,2,39,12,0,2,2,27,41.56,9229,9229,-1,7
222848,132,2,99,11,8,0,9,88,43.34,15443,15443,-1,0
223136,16,1,14,10,4,0,11,4,7.0,1010,1010,-1,0
225032,127,13,16,12,0,1,0,4,46.94,5833,5833,-1,7
225204,178,27,11,8,0,0,0,3,72.55,18040,18040,-1,0
225703,104,4,15,12,2,0,6,3,25.6,11606,11606,-1,2
227350,141,13,6,4,1,3,0,2,64.5,2803,2803,-1,7
227377,129,2,38,19,4,9,8,19,56.45,5801,5801,-1,7
227892,79,2,5,5,0,0,3,0,26.0,2933,2933,-1,0
228377,148,1,11,7,1,0,2,4,57.91,9726,9726,-1,0
229756,126,1,13,9,3,0,4,4,44.38,17318,17318,-1,0
229965,112,6,11,8,3,0,7,3,29.82,15123,15123,-1,0
229999,51,6,19,7,1,0,2,12,34.16,100955,21242,-1,0
231767,203,1,29,7,3,0,5,22,36.59,3825,3825,-1,0
232307,95,1,16,11,2,0,5,5,43.81,3645,3645,-1,0
232669,236,10,13,9,1,0,2,4,96.69,166023,6336,-1,0
232924,150,4,10,8,0,0,2,2,69.8,43867,7003,-1,0
232938,136,6,9,5,1,1,1,4,70.22,900,900,-1,0
233082,133,2,7,5,1,0,1,2,52.43,1147,1147,-1,0
233128,81,1,6,4,2,0,3,2,22.5,7544,7544,-1,0
233894,70,1,9,5,3,3,1,4,33.5,1123,1123,-1,7
236438,133,3,11,7,3,0,1,4,59.82,7185,7185,-1,0
237303,129,1,34,15,7,1,5,19,38.5,133150,53589,-1,0
238604,51,9,22,7,1,4,2,15,32.14,2576,2576,-1,7
239100,167,12,12,8,0,0,0,4,55.25,6990,6990,-1,0
239650,115,2,14,12,0,0,2,2,45.86,294260,23507,-1,0
239699,156,2,16,9,2,0,3,7,70.06,6044,6044,-1,0
240674,74,6,12,10,0,0,2,2,36.92,17391,17391,-1,0
241610,13,2,5,5,0,0,4,0,8.0,731,731,-1,0
243530,276,18,15,8,1,0,0,7,90.47,29298,29298,-1,0
244054,300,1,15,9,4,0,6,6,77.13,27256,27256,-1,0
244185,101,5,19,10,2,3,1,9,33.58,2164,2164,-1,7
244997,116,1,21,11,0,0,5,10,33.05,3490,3490,-1,0
245810,175,7,23,13,0,0,3,10,76.35,41004,41004,-1,0
247807,123,2,16,7,2,0,4,9,42.88,21894,21894,-1,0
