UID,ApplicationDate,Amount,Term,EmploymentType,LoanPurpose,Success
4921736,03/07/2020,2000,60,Employed - full time,Unexpected bills,0
1241981,04/02/2020,3000,60,Employed - full time,Starting new bussniess,0
5751748,02/08/2020,20000,60,Employed - full time,Business capital,0
7163425,23/09/2020,20000,60,Self employed,New business venture,0
227377,01/01/2020,5000,36,Employed - full time,car,0
231767,01/01/2020,10200,60,Employed - full time,Car,0
232938,01/01/2020,10000,60,Employed - full time,I want to buy a car,0
269187,02/01/2020,9000,48,Self employed,Car,0
272337,02/01/2020,8000,48,Employed - full time,Car,0
281845,03/01/2020,15000,54,Employed - full time,New car,0
294786,03/01/2020,12000,48,Employed - full time,car,0
299358,03/01/2020,5000,36,Self employed,Car insurance,0
304292,03/01/2020,16000,36,Employed - full time,Car,0
311277,03/01/2020,8000,36,Employed - full time,Car,0
322359,04/01/2020,1000,30,Employed - full time,Car,0
324011,04/01/2020,1000,12,Employed - full time,Car,0
341992,04/01/2020,5000,60,Employed - full time,Car,0
345888,05/01/2020,1000,12,Self employed,car,0
358276,05/01/2020,1500,24,Employed - full time,Car Loan,0
359736,05/01/2020,10000,60,Self employed,car,0
385478,06/01/2020,10000,60,Employed - full time,Car,0
387346,06/01/2020,10000,48,Employed - full time,Caravan,0
401432,06/01/2020,3000,60,Employed - full time,Car,0
402001,06/01/2020,6000,24,Employed - part time,Caravan,1
411248,06/01/2020,2000,12,Employed - part time,car,1
417859,07/01/2020,20000,60,Employed - full time,car repairs,0
448472,07/01/2020,6000,48,Employed - full time,Car repaired,1
450335,07/01/2020,10000,60,Employed - full time,buy car,0
450459,07/01/2020,5000,12,Employed - full time,New Car,1
460517,08/01/2020,10000,42,Employed - full time,Car,1
461164,08/01/2020,8000,42,Employed - full time,Car,0
470045,08/01/2020,7000,48,Employed - full time,Car,0
473029,08/01/2020,10000,36,Employed - full time,Vehicle purchase,0
474968,08/01/2020,10000,60,Self employed,Car,0
479331,08/01/2020,5000,24,Employed - full time,Car,0
489527,09/01/2020,14000,60,Employed - full time,Car,0
509310,09/01/2020,8000,48,Employed - full time,Car purchase,0
528411,10/01/2020,1000,12,Employed - full time,New car,0
534359,10/01/2020,10000,60,Employed - full time,Car,0
542430,10/01/2020,5000,24,Employed - full time,Car,0
